application,load,type,compressor,iteration,time,repetition
YATSERVER,BINCSVH1,INFINITE,heif,11,186.46147656440735,4
YATSERVER,BINCSVH1,INFINITE,heif,11,185.22507548332214,5
YATSERVER,BINCSVH1,INFINITE,heif,11,189.34841442108154,6
YATSERVER,BINCSVH1,INFINITE,heif,11,188.62270164489746,7
YATSERVER,BINCSVH1,INFINITE,heif,11,186.0644190311432,8
YATSERVER,BINCSVH1,INFINITE,heif,11,187.50227189064026,9
YATSERVER,BINCSVH1,INFINITE,heif,11,189.05264973640442,10
YATSERVER,BINCSVH1,INFINITE,heif,11,189.1862189769745,11
YATSERVER,BINCSVH1,INFINITE,heif,11,185.30343675613403,12
YATSERVER,BINCSVH1,INFINITE,heif,11,187.2601442337036,13
YATSERVER,BINCSVH1,INFINITE,heif,11,188.5699427127838,14
YATSERVER,BINCSVH1,INFINITE,heif,11,184.52129101753235,15
YATSERVER,BINCSVH1,INFINITE,heif,11,190.66116094589233,16
YATSERVER,BINCSVH1,INFINITE,heif,11,191.9030568599701,17
YATSERVER,BINCSVH1,INFINITE,heif,11,194.35704946517944,18
YATSERVER,BINCSVH1,INFINITE,heif,11,188.65952587127686,19
YATSERVER,BINCSVH1,INFINITE,heif,11,199.48977065086365,20
YATSERVER,BINCSVH1,INFINITE,heif,11,191.73432970046997,21
YATSERVER,BINCSVH1,INFINITE,heif,11,196.44833540916443,22
YATSERVER,BINCSVH1,INFINITE,heif,11,200.67389845848083,23
YATSERVER,BINCSVH1,INFINITE,heif,11,192.38879680633545,24
YATSERVER,BINCSVH1,INFINITE,heif,11,191.92022132873535,25
YATSERVER,BINCSVH1,INFINITE,heif,11,187.39644289016724,26
YATSERVER,BINCSVH1,INFINITE,heif,11,190.88624548912048,27
YATSERVER,BINCSVH1,INFINITE,heif,11,192.38500905036926,28
YATSERVER,BINCSVH1,INFINITE,heif,11,191.26469373703003,29
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.948642492294311,0
YATSERVER,BINCSVH1,INFINITE,entropy,3,3.686685562133789,1
YATSERVER,BINCSVH1,INFINITE,entropy,3,1.316479444503784,2
