application,load,type,compressor,iteration,mean_time
YATSERVER,BINCSVL3,INFINITE,heif,29,662.5856870492299
YATSERVER,BINCSVL3,INFINITE,ppmd,2,1.5817901849746703
YATSERVER,BINCSVL3,INFINITE,zlib,2,0.49944330851236934
YATSERVER,BINCSVL3,MONO,entropy,4,1.6843617916107172
YATSERVER,BINCSVL3,MONO,heif,5,77.28123618761698
YATSERVER,BINCSVL3,MONO,ppmd,3,1.9659766753514605
YATSERVER,BINCSVL3,MONO,zlib,2,0.4970285336176551
YATSERVER,BINCSVL3,NOBREAK,entropy,5,2.047678216298421
YATSERVER,BINCSVL3,NOBREAK,heif,9,138.27360492547353
YATSERVER,BINCSVL3,NOBREAK,ppmd,10,5.483763281504313
YATSERVER,BINCSVL3,NOBREAK,zlib,21,4.214841890335083
YATSERVER,BINCSVL3,SLEEP,entropy,3,1.4092881361643468
YATSERVER,BINCSVL3,SLEEP,heif,12,192.9723183075587
YATSERVER,BINCSVL3,SLEEP,ppmd,2,1.4681089560190832
YATSERVER,BINCSVL3,SLEEP,zlib,4,0.7818265676498408
YATSERVER,BINCSVL3,SWAP,entropy,2,1.1632672389348344
YATSERVER,BINCSVL3,SWAP,heif,9,137.04322193463642
YATSERVER,BINCSVL3,SWAP,ppmd,2,1.4795935710271195
YATSERVER,BINCSVL3,SWAP,zlib,2,0.4937190532684321
YATSERVER,BINCSVL3,UNLOCK,entropy,14,5.840150094032287
YATSERVER,BINCSVL3,UNLOCK,heif,4,64.47655435403188
YATSERVER,BINCSVL3,UNLOCK,ppmd,14,8.023117796579998
YATSERVER,BINCSVL3,UNLOCK,zlib,12,2.1758882204691563
YATSERVER,BINCSVM1,ALTCONTROL,entropy,2,1.1477889537811277
YATSERVER,BINCSVM1,ALTCONTROL,heif,6,94.84147005875906
YATSERVER,BINCSVM1,ALTCONTROL,ppmd,-1,20.64662714799245
YATSERVER,BINCSVM1,ALTCONTROL,zlib,-1,6.4773451566696165
YATSERVER,BINCSVM1,BCLEAN,entropy,2,1.1399350643157955
YATSERVER,BINCSVM1,BCLEAN,heif,17,326.4335430622101
YATSERVER,BINCSVM1,BCLEAN,ppmd,2,1.4088617801666257
YATSERVER,BINCSVM1,BCLEAN,zlib,3,0.650516581535339
YATSERVER,BINCSVM1,INFINITE,entropy,3,1.4590330123901365
YATSERVER,BINCSVM1,INFINITE,heif,12,214.97913312911987
YATSERVER,BINCSVM1,INFINITE,ppmd,2,1.4935742934544878
YATSERVER,BINCSVM1,INFINITE,zlib,2,0.5021671613057451
YATSERVER,BINCSVM1,MONO,entropy,2,1.221003127098083
YATSERVER,BINCSVM1,MONO,heif,9,151.9396598895391
YATSERVER,BINCSVM1,MONO,ppmd,2,1.4786000013351435
YATSERVER,BINCSVM1,MONO,zlib,3,0.6480379263559972
YATSERVER,BINCSVM1,NOBREAK,entropy,-1,17.691777261098228
YATSERVER,BINCSVM1,NOBREAK,heif,8,134.29707508881887
YATSERVER,BINCSVM1,NOBREAK,ppmd,26,19.299887228012086
YATSERVER,BINCSVM1,NOBREAK,zlib,25,5.464412768681844
YATSERVER,BINCSVM1,SLEEP,entropy,4,1.8208771864573159
YATSERVER,BINCSVM1,SLEEP,heif,10,169.96653033892315
YATSERVER,BINCSVM1,SLEEP,ppmd,3,1.8796760718027747
YATSERVER,BINCSVM1,SLEEP,zlib,3,0.6439007679621375
YATSERVER,BINCSVM1,SWAP,entropy,9,3.7909314473470053
YATSERVER,BINCSVM1,SWAP,heif,8,134.1568028608958
YATSERVER,BINCSVM1,SWAP,ppmd,7,3.7626826365788775
YATSERVER,BINCSVM1,SWAP,zlib,17,3.228064703941345
YATSERVER,BINCSVM1,UNLOCK,entropy,11,4.830036560694377
YATSERVER,BINCSVM1,UNLOCK,heif,7,119.66526772181193
YATSERVER,BINCSVM1,UNLOCK,ppmd,2,1.47869549592336
YATSERVER,BINCSVM1,UNLOCK,zlib,2,0.5200545628865556
YATSERVER,BINCSVM2,ALTCONTROL,entropy,2,1.082288297017415
YATSERVER,BINCSVM2,ALTCONTROL,heif,9,141.48584057490032
