compressor,mean_0-10 repetições,mean_0-30 repetições,std_0-10 repetições,std_0-30 repetições,std_diff_%,mean_diff_%,application,load,type
entropy,2.0091433286666867,1.8924350738525388,1.0204888947357253,0.8048583706891191,26.791114051778266,6.167094260019082,YATSERVER,BINCSVH1,UNLOCK
heif,174.41634862422944,174.43285722732543,4.6758428616454255,4.418278666925708,5.829514481460569,-0.009464159080115924,YATSERVER,BINCSVH1,UNLOCK
ppmd,1.4811876058578488,1.4180260260899857,0.5538827182944998,0.3989019184250411,38.85185623607914,4.454190445433682,YATSERVER,BINCSVH1,UNLOCK
zlib,0.9134122848510741,0.9111426035563147,0.010787947248152758,0.017471050913922887,-38.25244227549177,0.24910275141349705,YATSERVER,BINCSVH1,UNLOCK
entropy,0.9790514230728146,1.0508282820383703,0.01784150486134651,0.272579641871471,-93.45457175787205,-6.830503155693983,YATSERVER,BINCSVH2,ALTCONTROL
heif,95.68661050796509,96.22269569238027,2.7804943990121758,2.7304971535718328,1.831067480694508,-0.5571296673385935,YATSERVER,BINCSVH2,ALTCONTROL
ppmd,21.33247129917145,20.453640198707582,1.2255737901458439,1.493646718012243,-17.947545737130714,4.296697761014676,YATSERVER,BINCSVH2,ALTCONTROL
zlib,6.787462520599365,6.715064326922099,0.2804904092744064,0.17693030383433103,58.53158175608178,1.078145943993514,YATSERVER,BINCSVH2,ALTCONTROL
entropy,1.3643939733505246,1.1853325605392453,1.0794276004349408,0.6653819750584863,62.226757095435346,15.106428252491316,YATSERVER,BINCSVH2,BCLEAN
heif,132.45344197750092,132.2495809475581,1.1509553181945456,1.074060747218403,7.1592385417010895,0.1541487152414245,YATSERVER,BINCSVH2,BCLEAN
ppmd,1.2823556184768674,1.2827883640925086,0.009032653992303298,0.011792986304053584,-23.40655912405733,-0.03373476309534168,YATSERVER,BINCSVH2,BCLEAN
zlib,0.5228548288345334,0.5242124716440831,0.00933965610073372,0.00861342346192891,8.431405259647775,-0.2589871250662521,YATSERVER,BINCSVH2,BCLEAN
entropy,1.0881975173950191,1.096767624219258,0.10976140842073467,0.33130298061112456,-66.86977937286656,-0.7813967731167911,YATSERVER,BINCSVH2,INFINITE
heif,186.63617594242095,187.22304295698802,2.240099604866292,3.05203771333624,-26.603147953319468,-0.3134587523512803,YATSERVER,BINCSVH2,INFINITE
ppmd,1.7944843530654904,1.5734239816665645,0.995120202513908,0.6360704437896492,56.44811234822882,14.04963785824464,YATSERVER,BINCSVH2,INFINITE
zlib,0.6668913602828976,0.6666892766952511,0.00889188592185093,0.013269100269505512,-32.98802675953932,0.030311510130810244,YATSERVER,BINCSVH2,INFINITE
entropy,1.5117727041244504,1.502051035563151,0.6302938186472763,0.6748432030676054,-6.601442263598845,0.6472262480518621,YATSERVER,BINCSVH2,MONO
heif,322.31286787986755,326.4257840077082,3.2060670517767322,9.492675470664379,-66.22588582444877,-1.259985065316881,YATSERVER,BINCSVH2,MONO
ppmd,1.7159745216369626,1.6375039180119828,0.9874193287837333,0.7940805030366443,24.34750947891828,4.792086465371473,YATSERVER,BINCSVH2,MONO
zlib,0.6852391242980953,0.6859929800033566,0.03941223186850849,0.03780752167114749,4.244420492088554,-0.10989262678134558,YATSERVER,BINCSVH2,MONO
entropy,17.384192728996275,17.572698450088502,1.3515968146519433,1.6777010153282912,-19.437563528715877,-1.0727192618005552,YATSERVER,BINCSVH2,NOBREAK
heif,227.9777334690094,229.0801695982615,1.3227365595347582,3.176154922732895,-58.35415489126642,-0.4812446800547848,YATSERVER,BINCSVH2,NOBREAK
ppmd,23.806950283050536,24.076863511403403,1.2998342746240168,1.6806510010900062,-22.658881958182047,-1.1210481308125064,YATSERVER,BINCSVH2,NOBREAK
zlib,2.2343899726867673,2.2319630861282342,0.02960609236164426,0.041904178774161416,-29.34811460879957,0.1087332749191192,YATSERVER,BINCSVH2,NOBREAK
entropy,1.0571060895919795,1.1263340632120764,0.1168408944250875,0.6078246910658279,-80.77720498319908,-6.146309152958827,YATSERVER,BINCSVH2,SLEEP
heif,130.97868328094484,132.99544258912405,1.1803576539076768,4.777728465166662,-75.29458481130943,-1.51641234384985,YATSERVER,BINCSVH2,SLEEP
ppmd,1.2752298355102536,1.2752635002136228,0.02080306792431836,0.01903043250581639,9.314740576496037,-0.0026398233277707527,YATSERVER,BINCSVH2,SLEEP
zlib,0.5384617567062374,0.5283568461736039,0.021846651750493155,0.015482479400280412,41.1056406772773,1.9125162484055922,YATSERVER,BINCSVH2,SLEEP
entropy,2.141516256332397,2.1348829428354894,0.5822785533129845,0.5591506034686718,4.136264845435059,0.31071087617090887,YATSERVER,BINCSVH2,SWAP
heif,71.55431270599365,71.54070514043173,1.6401257827447375,1.825148645304782,-10.137413357318493,0.019020731673269654,YATSERVER,BINCSVH2,SWAP
ppmd,1.8844439268112179,1.844987908999125,0.554290495700246,0.42240151761794376,31.223604220473945,2.1385515655491245,YATSERVER,BINCSVH2,SWAP
zlib,0.6587870359420773,0.6592632214228309,0.007171559908932831,0.00854124126131098,-16.036092535898216,-0.0722299478083816,YATSERVER,BINCSVH2,SWAP
entropy,4.41037950515747,4.338259204228719,1.483177443134504,1.2284294972230518,20.737693655787908,1.662424892879889,YATSERVER,BINCSVH2,UNLOCK
heif,169.71231560707093,169.5236232360204,2.356674326368785,1.817719666059169,29.650042873666756,0.11130741984427,YATSERVER,BINCSVH2,UNLOCK
ppmd,1.2807415246963498,1.283797987302144,0.01943421544868155,0.02849276495949589,-31.792455115154983,-0.2380797162813062,YATSERVER,BINCSVH2,UNLOCK
zlib,0.8067125320434567,0.811425137519836,0.012964545062641636,0.01810955980972757,-28.410490377144804,-0.5807813017456711,YATSERVER,BINCSVH2,UNLOCK
entropy,1.190517449378967,1.1904299497604365,0.5866209789019894,0.6875787986959941,-14.683090866890183,0.007350253456585498,YATSERVER,BINCSVH3,ALTCONTROL
heif,111.67989773750305,111.63453493118286,2.687442639702673,2.1285015067345565,26.259842015597947,0.04063510126876318,YATSERVER,BINCSVH3,ALTCONTROL
ppmd,18.138609457015992,18.097103460629782,0.13003002609003486,0.28418040336796996,-54.24384491366002,0.22935160025197462,YATSERVER,BINCSVH3,ALTCONTROL
zlib,6.583172345161438,6.596008451779683,0.11650017639632526,0.21267319840919754,-45.22103524668346,-0.19460415662114003,YATSERVER,BINCSVH3,ALTCONTROL
entropy,1.662388706207275,1.4919827222824091,0.978408426978489,0.6277365521605877,55.86290516474376,11.421444858569263,YATSERVER,BINCSVH3,BCLEAN
heif,173.86830015182494,173.47585428555806,2.4464407062838243,2.589475525017364,-5.523698422775423,0.226225066239408,YATSERVER,BINCSVH3,BCLEAN
ppmd,1.2427451372146603,1.2464738607406614,0.014562303820674338,0.01599199016978588,-8.9400151821797,-0.29914173441113623,YATSERVER,BINCSVH3,BCLEAN
zlib,0.8094682931900021,0.8111920674641923,0.018937459407543798,0.03607743397561348,-47.50885159863486,-0.21249890664965326,YATSERVER,BINCSVH3,BCLEAN
entropy,1.086519908905029,1.0998836437861121,0.11003404725347429,0.32318527235203665,-65.95326066293723,-1.2150135113457399,YATSERVER,BINCSVH3,INFINITE
heif,86.6904666185379,87.2344033241272,1.9000253096258997,3.5055037943075082,-45.79879466365722,-0.6235346203587335,YATSERVER,BINCSVH3,INFINITE
ppmd,1.6142424821853634,1.646029655138651,0.01387957739569697,0.07545226236300862,-81.60482275677712,-1.93114217924647,YATSERVER,BINCSVH3,INFINITE
zlib,0.6544893741607661,0.6586004336675003,0.00956423672954564,0.011946023928686888,-19.937907485868024,-0.6242114788539121,YATSERVER,BINCSVH3,INFINITE
entropy,1.542887258529663,1.4978742837905878,0.5916902415858616,0.44221166947202534,33.80249379042956,3.005123676011261,YATSERVER,BINCSVH3,MONO
heif,100.03509578704833,100.35693022410075,0.7666426796757939,1.1860177002637435,-35.35992932438446,-0.32068979823690125,YATSERVER,BINCSVH3,MONO
ppmd,1.2625051498413082,1.2620494922002152,0.05109061027638588,0.04027218284848834,26.86327549862032,0.03610457782433174,YATSERVER,BINCSVH3,MONO
zlib,0.5174312114715572,0.5229530334472652,0.006633940125810495,0.022977745199414572,-71.12884633267012,-1.055892522375963,YATSERVER,BINCSVH3,MONO
entropy,17.76017050743103,17.4390327056249,1.691735330430882,1.491486364504411,13.426134538816884,1.841488614804588,YATSERVER,BINCSVH3,NOBREAK
heif,103.58673813343049,103.1827715476354,2.944287447987535,1.9145080309444105,53.788200435761205,0.3915058490249935,YATSERVER,BINCSVH3,NOBREAK
ppmd,7.749201250076294,7.695080852508545,0.12076250814736351,0.08892058193039899,35.80939927033791,0.703311616928712,YATSERVER,BINCSVH3,NOBREAK
zlib,3.831898021697998,3.832333238919576,0.016166432813225128,0.05181032709170863,-68.79689104334513,-0.011356455570150767,YATSERVER,BINCSVH3,NOBREAK
